dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
dataset1,2,4,400,LogisticRegression,5,6,1.0,0.025125741958618164
dataset1,2,4,400,LogisticRegression,5,7,1.0,0.030317068099975586
dataset1,2,4,400,LogisticRegression,5,8,1.0,0.02787947654724121
dataset1,2,4,400,LogisticRegression,5,9,1.0,0.023960590362548828
dataset1,2,4,400,LogisticRegression,6,0,1.0,0.023680925369262695
dataset1,2,4,400,LogisticRegression,6,1,1.0,0.025925397872924805
dataset1,2,4,400,LogisticRegression,6,2,1.0,0.02364516258239746
dataset1,2,4,400,LogisticRegression,6,3,1.0,0.02766561508178711
dataset1,2,4,400,LogisticRegression,6,4,1.0,0.02451324462890625
dataset1,2,4,400,LogisticRegression,6,5,1.0,0.02946615219116211
dataset1,2,4,400,LogisticRegression,6,6,1.0,0.025671958923339844
dataset1,2,4,400,LogisticRegression,6,7,1.0,0.023129940032958984
dataset1,2,4,400,LogisticRegression,6,8,1.0,0.023944616317749023
dataset1,2,4,400,LogisticRegression,6,9,1.0,0.025742053985595703
dataset1,2,4,400,LogisticRegression,7,0,1.0,0.025683879852294922
dataset1,2,4,400,LogisticRegression,7,1,1.0,0.023961544036865234
dataset1,2,4,400,LogisticRegression,7,2,1.0,0.02971196174621582
dataset1,2,4,400,LogisticRegression,7,3,1.0,0.029857873916625977
dataset1,2,4,400,LogisticRegression,7,4,1.0,0.03392457962036133
dataset1,2,4,400,LogisticRegression,7,5,1.0,0.025629758834838867
dataset1,2,4,400,LogisticRegression,7,6,1.0,0.02692246437072754
dataset1,2,4,400,LogisticRegression,7,7,1.0,0.02393341064453125
dataset1,2,4,400,LogisticRegression,7,8,1.0,0.023685693740844727
dataset1,2,4,400,LogisticRegression,7,9,1.0,0.025688648223876953
dataset1,2,4,400,LogisticRegression,8,0,1.0,0.08099651336669922
dataset1,2,4,400,LogisticRegression,8,1,1.0,0.03096318244934082
dataset1,2,4,400,LogisticRegression,8,2,1.0,0.02767801284790039
dataset1,2,4,400,LogisticRegression,8,3,1.0,0.025658607482910156
dataset1,2,4,400,LogisticRegression,8,4,1.0,0.023926258087158203
dataset1,2,4,400,LogisticRegression,8,5,1.0,0.03577446937561035
dataset1,2,4,400,LogisticRegression,8,6,1.0,0.02768683433532715
dataset1,2,4,400,LogisticRegression,8,7,1.0,0.023653507232666016
dataset1,2,4,400,LogisticRegression,8,8,1.0,0.2152869701385498
dataset1,2,4,400,LogisticRegression,8,9,1.0,0.13451647758483887
