dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
mushroom,2,6,154,KNN,1,1,0.625,0.002010345458984375
mushroom,2,6,154,KNN,1,2,0.625,0.0
mushroom,2,6,154,KNN,1,3,0.6875,0.0020089149475097656
mushroom,2,6,154,KNN,1,4,0.6,0.0020143985748291016
mushroom,2,6,154,KNN,1,5,0.6,0.0
mushroom,2,6,154,KNN,1,6,0.8666666666666667,0.002008676528930664
mushroom,2,6,154,KNN,1,7,0.7333333333333333,0.0
mushroom,2,6,154,KNN,1,8,0.6,0.0020089149475097656
mushroom,2,6,154,KNN,1,9,0.6666666666666666,0.0
mushroom,2,6,154,KNN,2,0,0.75,0.0
mushroom,2,6,154,KNN,2,1,0.625,0.0
mushroom,2,6,154,KNN,2,2,0.75,0.0
mushroom,2,6,154,KNN,2,3,0.625,0.0
mushroom,2,6,154,KNN,2,4,0.7333333333333333,0.0
mushroom,2,6,154,KNN,2,5,0.6,0.0
mushroom,2,6,154,KNN,2,6,0.6666666666666666,0.0
mushroom,2,6,154,KNN,2,7,0.6666666666666666,0.0
mushroom,2,6,154,KNN,2,8,0.6666666666666666,0.0
mushroom,2,6,154,KNN,2,9,0.6666666666666666,0.0
mushroom,2,6,154,KNN,3,0,0.75,0.008062124252319336
mushroom,2,6,154,KNN,3,1,0.625,0.0
mushroom,2,6,154,KNN,3,2,0.6875,0.0
mushroom,2,6,154,KNN,3,3,0.6875,0.002010822296142578
mushroom,2,6,154,KNN,3,4,0.7333333333333333,0.002009153366088867
mushroom,2,6,154,KNN,3,5,0.7333333333333333,0.0
mushroom,2,6,154,KNN,3,6,0.6,0.0020105838775634766
mushroom,2,6,154,KNN,3,7,0.7333333333333333,0.0
mushroom,2,6,154,KNN,3,8,0.6,0.002009868621826172
mushroom,2,6,154,KNN,3,9,0.6666666666666666,0.0
mushroom,2,6,154,KNN,4,0,0.75,0.0
mushroom,2,6,154,KNN,4,1,0.75,0.0
mushroom,2,6,154,KNN,4,2,0.5625,0.0
mushroom,2,6,154,KNN,4,3,0.6875,0.0
mushroom,2,6,154,KNN,4,4,0.6666666666666666,0.0
mushroom,2,6,154,KNN,4,5,0.8,0.0
mushroom,2,6,154,KNN,4,6,0.8,0.0
mushroom,2,6,154,KNN,4,7,0.7333333333333333,0.0
mushroom,2,6,154,KNN,4,8,0.6666666666666666,0.0
mushroom,2,6,154,KNN,4,9,0.6666666666666666,0.0
mushroom,2,6,154,KNN,5,0,0.625,0.0015676021575927734
mushroom,2,6,154,KNN,5,1,0.6875,0.0
mushroom,2,6,154,KNN,5,2,0.8125,0.0
mushroom,2,6,154,KNN,5,3,0.625,0.0
mushroom,2,6,154,KNN,5,4,0.6666666666666666,0.0
mushroom,2,6,154,KNN,5,5,0.8,0.0
mushroom,2,6,154,KNN,5,6,0.7333333333333333,0.0
mushroom,2,6,154,KNN,5,7,0.5333333333333333,0.002009153366088867
mushroom,2,6,154,KNN,5,8,0.7333333333333333,0.0
mushroom,2,6,154,KNN,5,9,0.7333333333333333,0.002009153366088867
mushroom,2,6,154,KNN,6,0,0.5,0.0
mushroom,2,6,154,KNN,6,1,0.75,0.0006434917449951172
mushroom,2,6,154,KNN,6,2,0.6875,0.0020139217376708984
mushroom,2,6,154,KNN,6,3,0.75,0.0020143985748291016
mushroom,2,6,154,KNN,6,4,0.7333333333333333,0.0
mushroom,2,6,154,KNN,6,5,0.7333333333333333,0.0
mushroom,2,6,154,KNN,6,6,0.7333333333333333,0.0020177364349365234
mushroom,2,6,154,KNN,6,7,0.6,0.0
mushroom,2,6,154,KNN,6,8,0.7333333333333333,0.0
mushroom,2,6,154,KNN,6,9,0.6666666666666666,0.0
mushroom,2,6,154,KNN,7,0,0.75,0.0
mushroom,2,6,154,KNN,7,1,0.5,0.0
mushroom,2,6,154,KNN,7,2,0.5625,0.0
mushroom,2,6,154,KNN,7,3,0.8125,0.0
mushroom,2,6,154,KNN,7,4,0.8,0.0
mushroom,2,6,154,KNN,7,5,0.5333333333333333,0.0
mushroom,2,6,154,KNN,7,6,0.5333333333333333,0.0
mushroom,2,6,154,KNN,7,7,0.7333333333333333,0.0
mushroom,2,6,154,KNN,7,8,0.7333333333333333,0.0
mushroom,2,6,154,KNN,7,9,0.7333333333333333,0.0
mushroom,2,6,154,KNN,8,0,0.75,0.0
mushroom,2,6,154,KNN,8,1,0.6875,0.0
mushroom,2,6,154,KNN,8,2,0.625,0.016127824783325195
mushroom,2,6,154,KNN,8,3,0.6875,0.0
mushroom,2,6,154,KNN,8,4,0.8,0.0020093917846679688
mushroom,2,6,154,KNN,8,5,0.6,0.0
mushroom,2,6,154,KNN,8,6,0.8,0.0020089149475097656
mushroom,2,6,154,KNN,8,7,0.7333333333333333,0.0
mushroom,2,6,154,KNN,8,8,0.6666666666666666,0.0
mushroom,2,6,154,KNN,8,9,0.7333333333333333,0.0020089149475097656
mushroom,2,6,154,KNN,9,0,0.75,0.0020093917846679688
mushroom,2,6,154,KNN,9,1,0.6875,0.0
mushroom,2,6,154,KNN,9,2,0.6875,0.0017533302307128906
mushroom,2,6,154,KNN,9,3,0.6875,0.0
mushroom,2,6,154,KNN,9,4,0.8,0.0020093917846679688
