Unnamed: 0,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time,source_file,algorithm
2,dataset3,2,3.000000,700,sdsa_svc,3,2,0.971429,0.112962,dataset-dataset3-mc-3.csv,sdsa_svc
3,dataset3,2,3.000000,700,sdsa_svc,3,3,0.957143,0.115552,dataset-dataset3-mc-3.csv,sdsa_svc
4,dataset3,2,3.000000,700,sdsa_svc,3,4,0.971429,0.114187,dataset-dataset3-mc-3.csv,sdsa_svc
5,dataset3,2,3.000000,700,sdsa_svc,3,5,0.957143,0.117476,dataset-dataset3-mc-3.csv,sdsa_svc
6,dataset3,2,3.000000,700,sdsa_svc,3,6,0.942857,0.115975,dataset-dataset3-mc-3.csv,sdsa_svc
7,dataset3,2,3.000000,700,sdsa_svc,3,7,0.942857,0.119297,dataset-dataset3-mc-3.csv,sdsa_svc
8,dataset3,2,3.000000,700,sdsa_svc,3,8,0.957143,0.115416,dataset-dataset3-mc-3.csv,sdsa_svc
9,dataset3,2,3.000000,700,sdsa_svc,3,9,0.957143,0.131349,dataset-dataset3-mc-3.csv,sdsa_svc
0,dataset2,2,2.000000,700,sdsa_svc,6,0,1.000000,0.200864,dataset-dataset2-mc-6.csv,sdsa_svc
1,dataset2,2,2.000000,700,sdsa_svc,6,1,0.957143,0.197170,dataset-dataset2-mc-6.csv,sdsa_svc
2,dataset2,2,2.000000,700,sdsa_svc,6,2,0.971429,0.197381,dataset-dataset2-mc-6.csv,sdsa_svc
3,dataset2,2,2.000000,700,sdsa_svc,6,3,0.914286,0.197156,dataset-dataset2-mc-6.csv,sdsa_svc
4,dataset2,2,2.000000,700,sdsa_svc,6,4,0.957143,0.195529,dataset-dataset2-mc-6.csv,sdsa_svc
5,dataset2,2,2.000000,700,sdsa_svc,6,5,0.957143,0.177577,dataset-dataset2-mc-6.csv,sdsa_svc
6,dataset2,2,2.000000,700,sdsa_svc,6,6,0.971429,0.098960,dataset-dataset2-mc-6.csv,sdsa_svc
7,dataset2,2,2.000000,700,sdsa_svc,6,7,0.928571,0.100051,dataset-dataset2-mc-6.csv,sdsa_svc
8,dataset2,2,2.000000,700,sdsa_svc,6,8,0.942857,0.097982,dataset-dataset2-mc-6.csv,sdsa_svc
9,dataset2,2,2.000000,700,sdsa_svc,6,9,0.900000,0.097024,dataset-dataset2-mc-6.csv,sdsa_svc
0,dataset4,2,2.000000,700,sdsa_svc,4,0,0.714286,0.116568,dataset-dataset4-mc-4.csv,sdsa_svc
1,dataset4,2,2.000000,700,sdsa_svc,4,1,0.800000,0.119557,dataset-dataset4-mc-4.csv,sdsa_svc
2,dataset4,2,2.000000,700,sdsa_svc,4,2,0.742857,0.119186,dataset-dataset4-mc-4.csv,sdsa_svc
3,dataset4,2,2.000000,700,sdsa_svc,4,3,0.657143,0.123800,dataset-dataset4-mc-4.csv,sdsa_svc
4,dataset4,2,2.000000,700,sdsa_svc,4,4,0.771429,0.118940,dataset-dataset4-mc-4.csv,sdsa_svc
5,dataset4,2,2.000000,700,sdsa_svc,4,5,0.728571,0.125376,dataset-dataset4-mc-4.csv,sdsa_svc
6,dataset4,2,2.000000,700,sdsa_svc,4,6,0.785714,0.122638,dataset-dataset4-mc-4.csv,sdsa_svc
7,dataset4,2,2.000000,700,sdsa_svc,4,7,0.628571,0.121032,dataset-dataset4-mc-4.csv,sdsa_svc
8,dataset4,2,2.000000,700,sdsa_svc,4,8,0.700000,0.125252,dataset-dataset4-mc-4.csv,sdsa_svc
9,dataset4,2,2.000000,700,sdsa_svc,4,9,0.657143,0.117058,dataset-dataset4-mc-4.csv,sdsa_svc
0,dataset2,2,2.000000,700,sdsa_svc,8,0,0.971429,0.116194,dataset-dataset2-mc-8.csv,sdsa_svc
1,dataset2,2,2.000000,700,sdsa_svc,8,1,0.942857,0.124169,dataset-dataset2-mc-8.csv,sdsa_svc
2,dataset2,2,2.000000,700,sdsa_svc,8,2,0.928571,0.118894,dataset-dataset2-mc-8.csv,sdsa_svc
3,dataset2,2,2.000000,700,sdsa_svc,8,3,0.971429,0.114872,dataset-dataset2-mc-8.csv,sdsa_svc
4,dataset2,2,2.000000,700,sdsa_svc,8,4,1.000000,0.115182,dataset-dataset2-mc-8.csv,sdsa_svc
5,dataset2,2,2.000000,700,sdsa_svc,8,5,0.928571,0.113162,dataset-dataset2-mc-8.csv,sdsa_svc
6,dataset2,2,2.000000,700,sdsa_svc,8,6,0.942857,0.114874,dataset-dataset2-mc-8.csv,sdsa_svc
7,dataset2,2,2.000000,700,sdsa_svc,8,7,0.928571,0.114334,dataset-dataset2-mc-8.csv,sdsa_svc
8,dataset2,2,2.000000,700,sdsa_svc,8,8,0.914286,0.114118,dataset-dataset2-mc-8.csv,sdsa_svc
9,dataset2,2,2.000000,700,sdsa_svc,8,9,0.985714,0.116788,dataset-dataset2-mc-8.csv,sdsa_svc
0,dataset3,2,3.000000,700,sdsa_svc,8,0,0.971429,0.210311,dataset-dataset3-mc-8.csv,sdsa_svc
1,dataset3,2,3.000000,700,sdsa_svc,8,1,0.928571,0.207107,dataset-dataset3-mc-8.csv,sdsa_svc
2,dataset3,2,3.000000,700,sdsa_svc,8,2,0.928571,0.206912,dataset-dataset3-mc-8.csv,sdsa_svc
3,dataset3,2,3.000000,700,sdsa_svc,8,3,0.942857,0.207142,dataset-dataset3-mc-8.csv,sdsa_svc
4,dataset3,2,3.000000,700,sdsa_svc,8,4,0.928571,0.206231,dataset-dataset3-mc-8.csv,sdsa_svc
5,dataset3,2,3.000000,700,sdsa_svc,8,5,0.971429,0.176546,dataset-dataset3-mc-8.csv,sdsa_svc
6,dataset3,2,3.000000,700,sdsa_svc,8,6,0.971429,0.105343,dataset-dataset3-mc-8.csv,sdsa_svc
7,dataset3,2,3.000000,700,sdsa_svc,8,7,1.000000,0.101324,dataset-dataset3-mc-8.csv,sdsa_svc
8,dataset3,2,3.000000,700,sdsa_svc,8,8,0.928571,0.108708,dataset-dataset3-mc-8.csv,sdsa_svc
9,dataset3,2,3.000000,700,sdsa_svc,8,9,0.971429,0.103649,dataset-dataset3-mc-8.csv,sdsa_svc
0,dry-climates,3,16.000000,522,sdsa_svc,8,0,0.924528,0.236676,dataset-dry-climates-mc-8.csv,sdsa_svc
1,dry-climates,3,16.000000,522,sdsa_svc,8,1,0.905660,0.179110,dataset-dry-climates-mc-8.csv,sdsa_svc
2,dry-climates,3,16.000000,522,sdsa_svc,8,2,1.000000,0.176908,dataset-dry-climates-mc-8.csv,sdsa_svc
3,dry-climates,3,16.000000,522,sdsa_svc,8,3,0.923077,0.180374,dataset-dry-climates-mc-8.csv,sdsa_svc
4,dry-climates,3,16.000000,522,sdsa_svc,8,4,0.942308,0.179125,dataset-dry-climates-mc-8.csv,sdsa_svc
5,dry-climates,3,16.000000,522,sdsa_svc,8,5,0.942308,0.180733,dataset-dry-climates-mc-8.csv,sdsa_svc
6,dry-climates,3,16.000000,522,sdsa_svc,8,6,0.980769,0.176764,dataset-dry-climates-mc-8.csv,sdsa_svc
7,dry-climates,3,16.000000,522,sdsa_svc,8,7,0.942308,0.177529,dataset-dry-climates-mc-8.csv,sdsa_svc
8,dry-climates,3,16.000000,522,sdsa_svc,8,8,0.980769,0.179737,dataset-dry-climates-mc-8.csv,sdsa_svc
9,dry-climates,3,16.000000,522,sdsa_svc,8,9,0.884615,0.173525,dataset-dry-climates-mc-8.csv,sdsa_svc
0,dataset1,2,2.000000,400,sdsa_svc,4,0,0.925000,0.115331,dataset-dataset1-mc-4.csv,sdsa_svc
1,dataset1,2,2.000000,400,sdsa_svc,4,1,0.925000,0.106775,dataset-dataset1-mc-4.csv,sdsa_svc
2,dataset1,2,2.000000,400,sdsa_svc,4,2,0.925000,0.106438,dataset-dataset1-mc-4.csv,sdsa_svc
3,dataset1,2,2.000000,400,sdsa_svc,4,3,0.900000,0.109239,dataset-dataset1-mc-4.csv,sdsa_svc
4,dataset1,2,2.000000,400,sdsa_svc,4,4,0.975000,0.111280,dataset-dataset1-mc-4.csv,sdsa_svc
5,dataset1,2,2.000000,400,sdsa_svc,4,5,0.875000,0.118728,dataset-dataset1-mc-4.csv,sdsa_svc
6,dataset1,2,2.000000,400,sdsa_svc,4,6,0.900000,0.099519,dataset-dataset1-mc-4.csv,sdsa_svc
7,dataset1,2,2.000000,400,sdsa_svc,4,7,0.950000,0.101372,dataset-dataset1-mc-4.csv,sdsa_svc
8,dataset1,2,2.000000,400,sdsa_svc,4,8,0.975000,0.098843,dataset-dataset1-mc-4.csv,sdsa_svc
9,dataset1,2,2.000000,400,sdsa_svc,4,9,0.975000,0.077169,dataset-dataset1-mc-4.csv,sdsa_svc
0,dry-climates,3,16.000000,522,sdsa_svc,2,0,0.981132,0.177531,dataset-dry-climates-mc-2.csv,sdsa_svc
1,dry-climates,3,16.000000,522,sdsa_svc,2,1,0.924528,0.175375,dataset-dry-climates-mc-2.csv,sdsa_svc
2,dry-climates,3,16.000000,522,sdsa_svc,2,2,0.980769,0.175701,dataset-dry-climates-mc-2.csv,sdsa_svc
3,dry-climates,3,16.000000,522,sdsa_svc,2,3,1.000000,0.177334,dataset-dry-climates-mc-2.csv,sdsa_svc
4,dry-climates,3,16.000000,522,sdsa_svc,2,4,0.903846,0.176583,dataset-dry-climates-mc-2.csv,sdsa_svc
5,dry-climates,3,16.000000,522,sdsa_svc,2,5,0.942308,0.176604,dataset-dry-climates-mc-2.csv,sdsa_svc
6,dry-climates,3,16.000000,522,sdsa_svc,2,6,0.923077,0.180187,dataset-dry-climates-mc-2.csv,sdsa_svc
