Unnamed: 0,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
7,dataset2,2,2.000000,700,sdsa_svc,5,7,0.928571,0.314840
8,dataset2,2,2.000000,700,sdsa_svc,5,8,0.871429,0.308789
9,dataset2,2,2.000000,700,sdsa_svc,5,9,0.957143,0.304922
0,dataset2,2,2.000000,700,sdsa_svc,6,0,0.971429,0.315342
1,dataset2,2,2.000000,700,sdsa_svc,6,1,0.942857,0.327157
2,dataset2,2,2.000000,700,sdsa_svc,6,2,0.971429,0.318834
3,dataset2,2,2.000000,700,sdsa_svc,6,3,0.914286,0.287149
4,dataset2,2,2.000000,700,sdsa_svc,6,4,0.928571,0.317131
5,dataset2,2,2.000000,700,sdsa_svc,6,5,0.942857,0.370109
6,dataset2,2,2.000000,700,sdsa_svc,6,6,0.971429,0.297704
7,dataset2,2,2.000000,700,sdsa_svc,6,7,0.928571,0.314740
8,dataset2,2,2.000000,700,sdsa_svc,6,8,0.957143,0.331571
9,dataset2,2,2.000000,700,sdsa_svc,6,9,0.928571,0.305193
0,dataset2,2,2.000000,700,sdsa_svc,7,0,0.942857,0.304968
1,dataset2,2,2.000000,700,sdsa_svc,7,1,0.928571,0.332185
2,dataset2,2,2.000000,700,sdsa_svc,7,2,0.942857,0.305035
3,dataset2,2,2.000000,700,sdsa_svc,7,3,0.900000,0.310228
4,dataset2,2,2.000000,700,sdsa_svc,7,4,0.914286,0.289412
5,dataset2,2,2.000000,700,sdsa_svc,7,5,0.971429,0.362551
6,dataset2,2,2.000000,700,sdsa_svc,7,6,0.942857,0.312889
7,dataset2,2,2.000000,700,sdsa_svc,7,7,0.985714,0.283197
8,dataset2,2,2.000000,700,sdsa_svc,7,8,0.957143,0.316699
9,dataset2,2,2.000000,700,sdsa_svc,7,9,0.942857,0.326267
0,dataset2,2,2.000000,700,sdsa_svc,8,0,0.971429,0.282363
1,dataset2,2,2.000000,700,sdsa_svc,8,1,0.914286,0.154975
2,dataset2,2,2.000000,700,sdsa_svc,8,2,0.928571,0.149777
3,dataset2,2,2.000000,700,sdsa_svc,8,3,0.985714,0.133198
4,dataset2,2,2.000000,700,sdsa_svc,8,4,1.000000,0.124811
5,dataset2,2,2.000000,700,sdsa_svc,8,5,0.942857,0.150028
6,dataset2,2,2.000000,700,sdsa_svc,8,6,0.928571,0.162695
7,dataset2,2,2.000000,700,sdsa_svc,8,7,0.942857,0.159757
8,dataset2,2,2.000000,700,sdsa_svc,8,8,0.900000,0.129107
9,dataset2,2,2.000000,700,sdsa_svc,8,9,0.957143,0.149993
0,dataset2,2,2.000000,700,sdsa_svc,9,0,0.971429,0.247257
1,dataset2,2,2.000000,700,sdsa_svc,9,1,0.957143,0.170850
2,dataset2,2,2.000000,700,sdsa_svc,9,2,0.942857,0.143687
3,dataset2,2,2.000000,700,sdsa_svc,9,3,0.942857,0.119919
4,dataset2,2,2.000000,700,sdsa_svc,9,4,0.914286,0.135223
5,dataset2,2,2.000000,700,sdsa_svc,9,5,0.971429,0.144738
6,dataset2,2,2.000000,700,sdsa_svc,9,6,0.971429,0.175161
7,dataset2,2,2.000000,700,sdsa_svc,9,7,0.942857,0.155328
