Unnamed: 0,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time,source_file,algorithm
1,climates,10,16.000000,1415,sdsa_svc,2,1,0.746479,1.011772,dataset-climates-mc-2.csv,sdsa_svc
2,climates,10,16.000000,1415,sdsa_svc,2,2,0.718310,1.002537,dataset-climates-mc-2.csv,sdsa_svc
3,climates,10,16.000000,1415,sdsa_svc,2,3,0.781690,0.996876,dataset-climates-mc-2.csv,sdsa_svc
4,climates,10,16.000000,1415,sdsa_svc,2,4,0.711268,1.004332,dataset-climates-mc-2.csv,sdsa_svc
5,climates,10,16.000000,1415,sdsa_svc,2,5,0.709220,0.784295,dataset-climates-mc-2.csv,sdsa_svc
6,climates,10,16.000000,1415,sdsa_svc,2,6,0.730496,0.481159,dataset-climates-mc-2.csv,sdsa_svc
7,climates,10,16.000000,1415,sdsa_svc,2,7,0.680851,0.478434,dataset-climates-mc-2.csv,sdsa_svc
8,climates,10,16.000000,1415,sdsa_svc,2,8,0.695035,0.475157,dataset-climates-mc-2.csv,sdsa_svc
9,climates,10,16.000000,1415,sdsa_svc,2,9,0.702128,0.485530,dataset-climates-mc-2.csv,sdsa_svc
0,european-climates,2,16.000000,324,sdsa_svc,2,0,1.000000,0.106500,dataset-european-climates-mc-2.csv,sdsa_svc
1,european-climates,2,16.000000,324,sdsa_svc,2,1,0.969697,0.106622,dataset-european-climates-mc-2.csv,sdsa_svc
2,european-climates,2,16.000000,324,sdsa_svc,2,2,0.878788,0.105915,dataset-european-climates-mc-2.csv,sdsa_svc
3,european-climates,2,16.000000,324,sdsa_svc,2,3,0.969697,0.105990,dataset-european-climates-mc-2.csv,sdsa_svc
4,european-climates,2,16.000000,324,sdsa_svc,2,4,0.906250,0.149081,dataset-european-climates-mc-2.csv,sdsa_svc
5,european-climates,2,16.000000,324,sdsa_svc,2,5,0.968750,0.107140,dataset-european-climates-mc-2.csv,sdsa_svc
6,european-climates,2,16.000000,324,sdsa_svc,2,6,0.906250,0.104770,dataset-european-climates-mc-2.csv,sdsa_svc
7,european-climates,2,16.000000,324,sdsa_svc,2,7,0.937500,0.114167,dataset-european-climates-mc-2.csv,sdsa_svc
8,european-climates,2,16.000000,324,sdsa_svc,2,8,0.906250,0.118395,dataset-european-climates-mc-2.csv,sdsa_svc
9,european-climates,2,16.000000,324,sdsa_svc,2,9,0.968750,0.107502,dataset-european-climates-mc-2.csv,sdsa_svc
0,mushroom,2,3.000000,154,sdsa_svc,1,0,0.750000,0.017503,dataset-mushroom-mc-1.csv,sdsa_svc
1,mushroom,2,3.000000,154,sdsa_svc,1,1,0.750000,0.015668,dataset-mushroom-mc-1.csv,sdsa_svc
2,mushroom,2,3.000000,154,sdsa_svc,1,2,0.750000,0.015985,dataset-mushroom-mc-1.csv,sdsa_svc
3,mushroom,2,3.000000,154,sdsa_svc,1,3,0.750000,0.016214,dataset-mushroom-mc-1.csv,sdsa_svc
4,mushroom,2,3.000000,154,sdsa_svc,1,4,0.733333,0.016363,dataset-mushroom-mc-1.csv,sdsa_svc
5,mushroom,2,3.000000,154,sdsa_svc,1,5,0.733333,0.018816,dataset-mushroom-mc-1.csv,sdsa_svc
6,mushroom,2,3.000000,154,sdsa_svc,1,6,0.733333,0.016226,dataset-mushroom-mc-1.csv,sdsa_svc
7,mushroom,2,3.000000,154,sdsa_svc,1,7,0.733333,0.015914,dataset-mushroom-mc-1.csv,sdsa_svc
8,mushroom,2,3.000000,154,sdsa_svc,1,8,0.733333,0.015929,dataset-mushroom-mc-1.csv,sdsa_svc
9,mushroom,2,3.000000,154,sdsa_svc,1,9,0.733333,0.015909,dataset-mushroom-mc-1.csv,sdsa_svc
0,climates,10,16.000000,1415,sdsa_svc,0,0,0.711268,0.543759,dataset-climates-mc-0.csv,sdsa_svc
1,climates,10,16.000000,1415,sdsa_svc,0,1,0.711268,0.558771,dataset-climates-mc-0.csv,sdsa_svc
2,climates,10,16.000000,1415,sdsa_svc,0,2,0.676056,0.568658,dataset-climates-mc-0.csv,sdsa_svc
3,climates,10,16.000000,1415,sdsa_svc,0,3,0.767606,0.569552,dataset-climates-mc-0.csv,sdsa_svc
4,climates,10,16.000000,1415,sdsa_svc,0,4,0.718310,0.557507,dataset-climates-mc-0.csv,sdsa_svc
5,climates,10,16.000000,1415,sdsa_svc,0,5,0.751773,0.572934,dataset-climates-mc-0.csv,sdsa_svc
6,climates,10,16.000000,1415,sdsa_svc,0,6,0.744681,0.545127,dataset-climates-mc-0.csv,sdsa_svc
7,climates,10,16.000000,1415,sdsa_svc,0,7,0.709220,0.565588,dataset-climates-mc-0.csv,sdsa_svc
8,climates,10,16.000000,1415,sdsa_svc,0,8,0.723404,0.555479,dataset-climates-mc-0.csv,sdsa_svc
9,climates,10,16.000000,1415,sdsa_svc,0,9,0.709220,0.565542,dataset-climates-mc-0.csv,sdsa_svc
0,dry-climates,3,16.000000,522,sdsa_svc,7,0,0.867925,0.336445,dataset-dry-climates-mc-7.csv,sdsa_svc
1,dry-climates,3,16.000000,522,sdsa_svc,7,1,0.943396,0.329689,dataset-dry-climates-mc-7.csv,sdsa_svc
2,dry-climates,3,16.000000,522,sdsa_svc,7,2,0.961538,0.330850,dataset-dry-climates-mc-7.csv,sdsa_svc
3,dry-climates,3,16.000000,522,sdsa_svc,7,3,0.942308,0.315811,dataset-dry-climates-mc-7.csv,sdsa_svc
4,dry-climates,3,16.000000,522,sdsa_svc,7,4,0.961538,0.326617,dataset-dry-climates-mc-7.csv,sdsa_svc
5,dry-climates,3,16.000000,522,sdsa_svc,7,5,0.942308,0.235086,dataset-dry-climates-mc-7.csv,sdsa_svc
6,dry-climates,3,16.000000,522,sdsa_svc,7,6,0.903846,0.162434,dataset-dry-climates-mc-7.csv,sdsa_svc
7,dry-climates,3,16.000000,522,sdsa_svc,7,7,0.942308,0.156980,dataset-dry-climates-mc-7.csv,sdsa_svc
